question_id,question,gold_answer,required_answer_elements,answerable,primary_modality,source_pdf_pages,sections,tables,figures,normative_type,secondary_localization_burden,secondary_modality_integration_burden,secondary_reasoning_burden,secondary_answer_composition_burden,secondary_normative_precision_burden,secondary_answerability_subtype,secondary_notes
T024,"What are the two hourly volume thresholds in All-Way Stop Control Warrant D, and how can they be adjusted when the major-street 85th-percentile speed exceeds 40 mph?","For the same 8 hours of a typical day, the combined entering volume must be at least 300 units per hour on the major-street approaches and at least 200 units per hour on the minor-street approaches. If the major-street 85th-percentile speed exceeds 40 mph, the minimums may be reduced to 70 percent of those values.",300 units/hour major approaches | 200 units/hour minor approaches | same 8 hours | 70% adjustment when speed exceeds 40 mph,True,text,120,2B.16,,,Option,,,,,,,
T025,"What must a Speed Limit sign display, in what increments, and may it be used to show an advisory speed for a roadway condition?","It must display the speed limit established by law, ordinance, regulation, or an authorized agency based on an engineering study, in multiples of 5 mph. It should not be used for an advisory speed; an advisory speed plaque below an appropriate warning sign should be used instead.",established legal/authorized speed limit | multiples of 5 mph | not for advisory speed | use advisory speed plaque with warning sign,True,text,126;127,2B.21,,,Standard/Guidance,,,,,,,
T026,What three types of signs are required at an interchange exit-ramp terminal where wrong-way entry could inadvertently occur?,"At least one ONE WAY sign for each crossroad travel direction, at least one DO NOT ENTER sign near the downstream end of the exit ramp, and at least one WRONG WAY sign on the exit ramp facing wrong-way road users are required.",ONE WAY signs for each crossroad direction | DO NOT ENTER near downstream exit-ramp end | WRONG WAY on ramp facing wrong-way traffic,True,text,152,2B.48,,,Standard,,,,,,,
T027,How should the advance placement of warning signs be determined?,"Warning signs should be placed to provide adequate perception-response time. Table 2C-3 is an aid, but its distances should be applied with engineering judgment and can be adjusted for roadway features, other signing, and visibility.",adequate perception-response time | Table 2C-3 is an aid | engineering judgment | distances may be adjusted,True,text,193,2C.04,,,Guidance,,,,,,,
T028,"If Chevron Alignment signs are used on a curve, what shape, border, placement, orientation, and minimum mounting height are required?","They must be vertical rectangles with no border, installed on the outside of the turn or curve, aligned approximately at a right angle to approaching traffic, and mounted at least 4 feet above the near edge of the traveled way.",vertical rectangle | no border | outside of curve | approximately right angle to approaching traffic | 4-foot minimum height,True,text,199,2C.08,,,Standard,,,,,,,
T029,"In the MUTCD treatment of changeable message signs, what is a unit of information and how many words should it contain at most?",A unit of information is one answer to one question that a driver can use to make a decision. It should contain no more than four words; total message length should be governed by the number of information units and the size of the CMS.,one answer to one driver decision question | no more than four words per unit | message length depends on units and CMS size,True,text,555,2L.05,,,Guidance,,,,,,,
T030,Which five pavement-marking colors are permitted by the general MUTCD color rule?,"Yellow, white, red, blue, and purple.",yellow | white | red | blue | purple,True,text,578,3A.03,,,Standard,,,,,,,
T031,What directional relationship do yellow center line markings and white lane line markings communicate?,Yellow center lines separate lanes traveling in opposite directions. White lane lines separate lanes traveling in the same direction.,yellow=opposing directions | white=same direction,True,text,581;587,3B.01;3B.06,,,Standard,,,,,,,
T032,"When are no-passing-zone markings required at horizontal or vertical curves, and what should be done when successive no-passing zones are separated by less than 400 feet?","They are required on roadways with center line markings where passing sight distance is below the minimum in Table 3B-1 for the relevant speed. If successive no-passing zones are less than 400 feet apart, the markings should connect the zones.",required where sight distance below Table 3B-1 minimum | applies on roadways with center line markings | connect zones when gap under 400 feet,True,text,584,3B.03,,,Standard/Guidance,,,,,,,
T033,"What color and dimensional limits apply to crosswalk markings, including transverse crosswalk lines?","Crosswalk markings must be white. Where transverse lines are used, each line must be at least 6 inches and no more than 24 inches wide. Except for certain ramp-terminal cases, the marked crosswalk should be at least 6 feet wide.",white | transverse line width 6-24 inches | crosswalk generally at least 6 feet wide,True,text,631,3C.03,,,Standard/Guidance,,,,,,,
T034,Is a yield line mandatory at every roundabout entrance under Section 3D.04?,"No. A yield line may be used to indicate the point behind which vehicles are required to yield at a roundabout entrance; it is an Option, not a universal requirement.",no | may be used | Option rather than mandatory,True,text,646,3D.04,,,Option,,,,,,,
T035,Does satisfying a traffic signal warrant automatically require installation of a traffic control signal?,"No. A warrant is a threshold that triggers analysis; it is not conclusive justification. Installation must be based on an engineering study considering safety, operation, alternatives, and the site. A signal can also be installed where no warrant is met if an engineering study documents why it is the best solution.",no automatic requirement | warrant triggers analysis not conclusive justification | engineering study controls decision | possible installation without a met warrant if documented,True,text,691;694,4B.04;4C.01,,,Standard/Support,,,,,,,
T036,"When a driver faces a steady circular green indication, what movements are generally permitted and to whom must the driver yield?","The driver may generally proceed straight, turn right or left, or make a U-turn unless another control modifies the movement. The driver must yield to pedestrians lawfully in an associated crosswalk, vehicles lawfully in the intersection, and for left/U-turns, opposing vehicles close enough to be an immediate hazard.",straight/right/left/U-turn generally permitted | subject to other controls | yield to lawful pedestrians | yield to vehicles in intersection | left/U-turn yields to immediate-hazard opposing traffic,True,text,684,4A.03,,,Standard,,,,,,,
T037,"What is the function of the yellow change interval, how is its duration established, and may a pre-yellow vehicular countdown display be used?","The yellow change interval warns that permission to proceed or a protected movement is ending. Its duration must be determined using engineering practices, with guidance of 3 to 6 seconds. Pre-yellow displays such as vehicular countdowns or flashing green indications are prohibited, except for permitted advance-warning beacons.",warns permission/protection is ending | duration by engineering practices | guidance 3-6 seconds | pre-yellow countdown/flashing green prohibited except advance warning beacons,True,text,749,4F.17,,,Support/Standard/Guidance,,,,,,,
T038,"What walking speed is generally used to calculate pedestrian clearance time, and what alternative speed may be used with an extended push-button feature?",The general walking speed is 3.5 feet per second. Up to 4 feet per second may be used to evaluate sufficiency where an extended push-button press provides slower pedestrians a longer clearance time.,3.5 ft/s general | up to 4 ft/s with extended push-button conditions,True,text,765,4I.06,,,Guidance/Option,,,,,,,
T039,When is a countdown display mandatory on a pedestrian signal head?,It is mandatory at a crosswalk when the pedestrian change interval is more than 7 seconds.,pedestrian change interval more than 7 seconds | countdown display required,True,text,760,4I.04,,,Standard,,,,,,,
T040,What is the required indication sequence of a pedestrian hybrid beacon after a pedestrian actuation?,"Flashing circular yellow, then steady circular yellow, then both steady circular red during the walk interval, then alternating flashing circular red during the pedestrian change interval, followed by return to dark.",flashing yellow | steady yellow | both steady red during walk | alternating flashing red during change | return to dark,True,text,770,4J.03,,,Standard,,,,,,,
T041,What orientation and locator-tone requirements apply to an accessible pedestrian push button?,"The push button must have a high-contrast vibrotactile arrow on the button, aligned parallel to travel on the associated crosswalk. A locator tone must be incorporated; normally it is 0.15 seconds or less and repeats at 1-second intervals when the audible walk indication is not active, subject to stated exceptions.",vibrotactile arrow on button | high contrast | parallel to crosswalk travel | locator tone required | tone <=0.15 s | normally repeats every 1 s,True,text,775,4K.04,,,Standard,,,,,,,
T042,"How do RRFBs normally operate with respect to activation, synchronization, and flash rate?","They are normally dark and operate only upon pedestrian actuation, stopping after the predetermined period or after a detected pedestrian clears. All RRFB units for the crosswalk begin and end together. When active, they use 75 rapid-flashing sequences per minute.",normally dark | pedestrian actuated | cease after predetermined time/clearance | all units synchronized | 75 sequences per minute,True,text,779,4L.03,,,Standard,,,,,,,
T043,What safety and accessibility priority does the MUTCD establish for temporary traffic control planning and operation?,"Road-user and worker safety and accessibility must be treated as integral, high-priority considerations from planning through design and construction, including motorists, bicyclists, pedestrians with disabilities, workers, and coordination with rail transit where applicable.",safety and accessibility high priority | applies through planning/design/construction | all road-user types including disabled pedestrians and workers | rail coordination when applicable,True,text,807,6A.02,,,Guidance,,,,,,,
T044,What high-visibility apparel is generally required for workers within a temporary traffic control zone?,"Workers, including emergency responders, within the right-of-way and TTC zone must wear ANSI/ISEA 107-2015 Performance Class 2 or 3 apparel, or an equivalent revision, subject to specified responder exceptions. The employer's designated safety person selects the appropriate class.",ANSI/ISEA 107-2015 or equivalent | Performance Class 2 or 3 | applies to workers including responders | employer-designated person selects class | recognize specified exceptions,True,text,823,6C.05,,,Standard,,,,,,,
T045,What abilities should a qualified flagger be able to demonstrate?,A flagger should communicate instructions clearly and courteously; move quickly to avoid danger; control paddles or flags to give clear guidance; understand and apply traffic-control practices under stress; and recognize dangerous situations and warn workers in time.,clear communication | quick movement | control signaling devices | apply traffic-control practices | recognize hazards and warn workers,True,text,824,6D.01,,,Guidance,,,,,,,
T046,"When two-way traffic must share one lane for a limited distance, what coordination rule and control methods apply?","Movements from both ends must be coordinated, except for a short, low-volume, mutually visible work zone that can self-regulate. Methods include flaggers, flag transfer, a pilot car, temporary traffic signals, or stop/yield control.",movements from both ends coordinated | limited self-regulating exception | flagger | flag transfer | pilot car | traffic signal | stop/yield control,True,text,828,6E.01,,,Standard/Guidance/Option,,,,,,,
T047,"Where must a School Speed Limit assembly be placed, what advance sign is required, and how is the downstream end normally marked?","The assembly or S5-1 sign must be at or as near as practicable to the point where the reduced zone begins. A School (S1-1) sign must be placed in advance of the first school-speed-limit sign in each direction. The downstream end is normally marked with an END SCHOOL SPEED LIMIT (S5-3) sign, with an END SCHOOL ZONE (S5-2) allowed when the two zones end together.",at beginning of reduced zone | advance S1-1 required | S5-3 normally at downstream end | S5-2 permitted when school zone ends at same point,True,text,1019,7B.05,,,Standard/Option,,,,,,,
T048,"What minimum geometry and operational restrictions apply to a bicycle box, and how must optional green pavement be applied?","The box must be at least 10 feet from its upstream edge near the motor-vehicle stop line to its downstream edge near the crosswalk or intersection, must include at least one bicycle symbol, and turns on red must be prohibited from the lane containing the box. If green pavement is used, it must fill the full limits of the bicycle box.",10-foot minimum length | at least one bicycle symbol | turns on red prohibited from box lane | green pavement covers full box,True,text,1146;1147,9E.12,,,Standard,,,,,,,
T049,"According to the MUTCD, what exact percentage reduction in crashes is guaranteed by installing a STOP sign or all-way stop control?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,115;120,2B.04;2B.12-2B.17,,,Not stated,,,,,,,
T050,What hexadecimal or Pantone color code does the MUTCD prescribe for the red background of a STOP sign?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,74;84,1D.05;2A.06,,,Not stated,,,,,,,
T051,"What universal maximum service life, in years, does the MUTCD assign to every traffic sign before mandatory replacement?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,65;102;103,1C.02;2A.19;2A.22,,,Not stated,,,,,,,
T052,What single mandatory signal-cycle length must be used at every urban signalized intersection in the United States?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,684;691,4A.01-4A.06;4B.01-4B.05,,,Not stated,,,,,,,
T053,What is the maximum number of words permitted on every static regulatory or warning sign?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,81;86,2A.04;2A.08,,,Not stated,,,,,,,
T054,How many licensed traffic engineers must a road agency employ per 100 centerline miles to comply with the MUTCD?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,43;73,1A.04;1D.03,,,Not stated,,,,,,,
T055,What maximum installed cost per crosswalk does the MUTCD allow for an RRFB system?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,777;779,4L.01-4L.03,,,Not stated,,,,,,,
T056,Which specific manufacturers are approved by the MUTCD to supply retroreflective sign sheeting?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,103;104,2A.21;2A.22,,,Not stated,,,,,,,
T057,"What national default school-zone speed limit must every jurisdiction post, regardless of local law or engineering study?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,1019,7B.05,,,Not stated,,,,,,,
T058,What minimum iOS or Android version is required for a mobile parking-payment system referenced by MUTCD parking signs?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,112,2B.52;2B.53,,,Not stated,,,,,,,
T059,What minimum miles-per-gallon rating must a vehicle achieve to qualify as an inherently low-emission vehicle under the MUTCD?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,60;62,1C.02,,,Not stated,,,,,,,
T060,Which machine-learning architecture does the MUTCD require automated vehicles to use for recognizing signs and pavement markings?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,text,800;801,5A.01-5A.04,,,Not stated,,,,,,,
TB001,"According to Table 1B-1, what is the compliance date for implementing and continuing to use a method designed to maintain longitudinal pavement-marking retroreflectivity?","September 6, 2026.","September 6, 2026",True,table,46,1B.03,1B-1,,Standard,,,,,,,
TB002,"In Table 1D-1, what standard abbreviations are permitted for 'Pedestrian(s)'?",PED or PEDS.,PED | PEDS,True,table,76,1D.08,1D-1,,Standard,,,,,,,
TB003,"In Table 1D-2, how is 'Road Work' abbreviated on a portable changeable message sign, and what may follow it?","RD WK; it may be followed by AHEAD or a distance, such as 'RD WK 1 MILE.'",RD WK | AHEAD or distance,True,table,77,1D.08,1D-2,,Standard,,,,,,,
TB004,Why does Table 1D-3 prohibit the abbreviation 'DLY'?,It is intended to mean 'Delay' but can be misinterpreted as 'Daily.',intended=Delay | misinterpretation=Daily,True,table,78,1D.08,1D-3,,Standard,,,,,,,
TB005,"Match these exclusive sign shapes from Table 2A-1 to their uses: octagon, circle, and pennant.",Octagon: STOP; circle: Grade Crossing Advance Warning; pennant: NO PASSING ZONE.,octagon=STOP | circle=grade crossing advance warning | pennant=no passing zone,True,table,83,2A.05,2A-1,,Standard,,,,,,,
TB006,"Using Table 2A-2, identify the characteristic background colors for temporary traffic control, incident management, and ETC-account-only signs.",Temporary traffic control: orange; incident management: fluorescent pink; ETC-account-only: purple.,temporary traffic control=orange | incident management=fluorescent pink | ETC-account-only=purple,True,table,85,2A.06,2A-2,,Standard,,,,,,,
TB007,"For white-on-red signs, what minimum maintained retroreflectivity values and contrast criterion are shown in Table 2A-5?","White at least 35 cd/lx/m², red at least 7 cd/lx/m², and a white-to-red contrast ratio of at least 3:1.",white >=35 | red >=7 | contrast >=3:1 | units cd/lx/m2,True,table,104,2A.22,2A-5,,Standard,,,,,,,
TB008,"What STOP-sign sizes does Table 2B-1 give for a conventional single-lane road, a conventional multi-lane road, and an oversized application?","30 x 30 inches, 36 x 36 inches, and 48 x 48 inches, respectively.",30x30 | 36x36 | 48x48 | inches,True,table,109,2B.03,2B-1,,Standard,,,,,,,
TB009,"What Speed Limit (R2-1) sign sizes are shown in Table 2B-1 for conventional single-lane, conventional multi-lane, expressway, and freeway applications?","24 x 30, 30 x 36, 36 x 48, and 48 x 60 inches, respectively.",24x30 | 30x36 | 36x48 | 48x60 | inches,True,table,109,2B.03,2B-1,,Standard,,,,,,,
TB010,"At 55 mph, what advance placement distances does Table 2C-3 show for Condition A and for a potential stop condition?",990 feet for Condition A and 495 feet for the potential stop condition.,990 feet | 495 feet,True,table,193,2C.04,2C-3,,Guidance,,,,,,,
TB011,"At a posted or 85th-percentile speed of 60 mph, what advance placement distance does Table 2C-3 show for deceleration to an advisory speed of 30 mph?",200 feet.,200 feet,True,table,193,2C.04,2C-3,,Guidance,,,,,,,
TB012,What typical Chevron Alignment sign spacing does Table 2C-5 recommend for an advisory speed of 35 to 45 mph and a curve radius of 401 to 700 feet?,120 feet.,120 feet,True,table,199,2C.08,2C-5,,Guidance,,,,,,,
TB013,"According to Table 2D-6, what are the recommended minimum initial upper-case and lower-case letter heights for an overhead Street Name sign?",12 inches for the initial upper-case letters and 9 inches for lower-case letters.,12 inches upper-case | 9 inches lower-case,True,table,289,2D.45,2D-6,,Guidance,,,,,,,
TB014,What minimum passing sight distance does Table 3B-1 specify for a speed of 55 mph?,900 feet.,900 feet,True,table,584,3B.03,3B-1,,Standard,,,,,,,
TB015,"For a horizontal curve radius of 500 feet, what approximate delineator spacing does Table 3G-1 show?",65 feet.,65 feet,True,table,662,3G.04,3G-1,,Guidance,,,,,,,
TB016,"Under Warrant 1 Condition A in Table 4C-1, what are the 100-percent hourly volumes when the major street has two or more lanes and the minor street has one lane?","600 vehicles per hour on the major street, total of both approaches, and 150 vehicles per hour on the more critical minor-street approach in one direction.",major=600 vph total both approaches | minor=150 vph one direction,True,table,694,4C.02,4C-1,,Guidance,,,,,,,
TB017,"Under Warrant 1 Condition B in Table 4C-1, what are the 100-percent hourly volumes when the major street has two or more lanes and the minor street has one lane?","900 vehicles per hour on the major street, total of both approaches, and 75 vehicles per hour on the more critical minor-street approach in one direction.",major=900 vph total both approaches | minor=75 vph one direction,True,table,694,4C.02,4C-1,,Guidance,,,,,,,
TB018,"For a four-leg intersection, what one-year crash thresholds are listed in Table 4C-2 for all-severity angle/pedestrian crashes and for fatal-and-injury angle/pedestrian crashes?","Five all-severity angle and pedestrian crashes, or three fatal-and-injury angle and pedestrian crashes.",5 all-severity | 3 fatal-and-injury,True,table,702,4C.08,4C-2,,Guidance,,,,,,,
TB019,What minimum sight distance for signal visibility does Table 4D-2 list at an 85th-percentile speed of 45 mph?,460 feet.,460 feet,True,table,711,4D.06,4D-2,,Guidance,,,,,,,
TB020,What is the key difference between automation Levels 3 and 4 in Table 5A-1 regarding a human response to a request to intervene?,"At Level 3, the ADS performs the dynamic driving task within its operational design domain with the expectation that the human driver will respond appropriately to a request to intervene. At Level 4, the ADS performs the task even if the human driver does not respond appropriately.",Level 3 expects human response | Level 4 continues even without appropriate human response,True,table,801,5A.03,5A-1,,Support,,,,,,,
TB021,"What A, B, and C advance-warning sign spacings does Table 6B-1 recommend for an expressway or freeway?","A = 1,000 feet, B = 1,500 feet, and C = 2,640 feet.",A=1000 feet | B=1500 feet | C=2640 feet,True,table,814,6B.05,6B-1,,Guidance,,,,,,,
TB022,What stopping sight distance does Table 6B-2 list for 55 mph?,495 feet.,495 feet,True,table,816,6B.06,6B-2,,Option,,,,,,,
TB023,"According to Table 6B-3, what taper lengths are used for shifting, shoulder, and one-lane two-way traffic tapers?","A shifting taper is at least 0.5L, a shoulder taper is at least 0.33L, and a one-lane two-way traffic taper is 50 feet minimum and 100 feet maximum.",shifting >=0.5L | shoulder >=0.33L | one-lane two-way 50-100 feet,True,table,816,6B.08,6B-3,,Guidance,,,,,,,
TB024,"What minimum off-roadway sizes does Table 9A-1 give for a STOP sign, a YIELD sign, and a Crossbuck sign on a bicycle facility?",STOP: 18 x 18 inches; YIELD: 18 x 18 x 18 inches; Crossbuck: 24 x 4.5 inches.,STOP 18x18 | YIELD 18x18x18 | Crossbuck 24x4.5 | inches,True,table,1090,9A.03,9A-1,,Standard,,,,,,,
TB025,"Which MUTCD table gives a fixed replacement interval, in years, for every type of traffic sign?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,103;104,2A.22,2A-5,,Not stated,,,,,,,
